title,price,link,image_url,weight
Surf Excel Easy Wash Detergent Powder 5 kg,₹479.00,https://www.jiomart.com/p/groceries/surf-excel-easy-wash-detergent-powder-5-kg/590837659,"https://www.jiomart.com/images/product/original/492367966/surf-excel-easy-wash-detergent-powder-5-kg-product-images-o492367966-p590837659-0-202501271942.jpg?im=Resize=(360,360)",5 kg
Surf Excel Matic Top Load Liquid Detergent 4 L,₹492.00,https://www.jiomart.com/p/groceries/surf-excel-matic-top-load-liquid-detergent-4-l/606857071,"https://www.jiomart.com/images/product/original/494336376/surf-excel-matic-top-load-liquid-detergent-4-l-product-images-o494336376-p606857071-0-202408131803.jpg?im=Resize=(360,360)",4 L
Tide Jasmine & Rose Detergent Powder 5 kg (Get Extra 1 kg Free),₹675.00,https://www.jiomart.com/p/groceries/tide-jasmine-rose-detergent-powder-5-kg-get-extra-1-kg-free/590838653,"https://www.jiomart.com/images/product/original/491252835/tide-jasmine-rose-detergent-powder-5-kg-get-extra-1-kg-free-product-images-o491252835-p590838653-0-202203151949.jpg?im=Resize=(360,360)",5 kg
Active White Detergent Powder - 10 kg Family Pack,₹378.00,https://www.jiomart.com/p/groceries/active-white-detergent-powder-10-kg-family-pack/603002057,"https://www.jiomart.com/images/product/original/rvgiwqhkez/active-white-detergent-powder-10-kg-family-pack-product-images-orvgiwqhkez-p603002057-0-202307071839.jpg?im=Resize=(360,360)",10 kg
Rin Detergent Powder 5 kg,₹425.00,https://www.jiomart.com/p/groceries/rin-detergent-powder-5-kg/590140436,"https://www.jiomart.com/images/product/original/491961089/rin-detergent-powder-5-kg-product-images-o491961089-p590140436-0-202206221041.jpg?im=Resize=(360,360)",5 kg
Ariel Matic Top Load Detergent Powder 4 kg (Get Extra 2 kg Free),"₹1,031.00",https://www.jiomart.com/p/groceries/ariel-matic-top-load-detergent-powder-4-kg/491335765,"https://www.jiomart.com/images/product/original/491335765/ariel-matic-top-load-detergent-powder-4-kg-get-extra-2-kg-free-product-images-o491335765-p491335765-0-202311221818.jpg?im=Resize=(360,360)",4 kg
Surf Excel Matic Front Load Liquid Detergent 4 L,₹605.00,https://www.jiomart.com/p/groceries/surf-excel-matic-front-load-liquid-detergent-4-l/606857070,"https://www.jiomart.com/images/product/original/494336377/surf-excel-matic-front-load-liquid-detergent-4-l-product-images-o494336377-p606857070-0-202408041741.jpg?im=Resize=(360,360)",4 L
Tide Plus Double Power Jasmine & Rose Detergent Powder 6 kg (Get Extra 2 kg Free),₹669.00,https://www.jiomart.com/p/groceries/tide-plus-jasmine-rose-detergent-powder-6-kg-get-extra-2-kg-free/490794317,"https://www.jiomart.com/images/product/original/490794317/tide-plus-double-power-jasmine-rose-detergent-powder-6-kg-get-extra-2-kg-free-product-images-o490794317-p490794317-0-202410091720.jpg?im=Resize=(360,360)",6 kg
Tide Naturals Lemon & Chandan Detergent Powder 1 kg,₹79.00,https://www.jiomart.com/p/groceries/tide-naturals-lemon-chandan-detergent-powder-800-g/490916874,"https://www.jiomart.com/images/product/original/490916874/tide-naturals-lemon-chandan-detergent-powder-1-kg-product-images-o490916874-p490916874-0-202205301924.jpg?im=Resize=(360,360)",1 kg
Ariel Matic Front Load Detergent Powder 4 kg (Get Extra 2 kg Free),"₹1,195.00",https://www.jiomart.com/p/groceries/ariel-matic-front-load-detergent-powder-4-kg/491335764,"https://www.jiomart.com/images/product/original/491335764/ariel-matic-front-load-detergent-powder-4-kg-get-extra-2-kg-free-product-images-o491335764-p491335764-0-202310232042.jpg?im=Resize=(360,360)",4 kg
